Name,Event Image,Event Website Link,Event Venue Name,Event Venue Address,Dates,Date Details,Event Date,Times,Time Summary,Neighborhood,Event Categories,Event Type,Event Description,State,City,Batch
2024 Summer Camps: Minecraft Architecture / Civil Engineering,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-minecraft-architecture-civil-engineering/?instance_id=325,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 24-28, 2024","['June 24, 2024', 'June 25, 2024', 'June 26, 2024', 'June 27, 2024', 'June 28, 2024']",6/28/2024 9:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"Students learn principles of physics and forces of nature and their effect on structures.  Learn to construct houses, bridges, ships, floating islands, and rollercoasters of the highest quality.  Students start by creating the blueprints of the environment.  As the course progresses, they use the blueprints and apply civil engineering to build the structures and landscape in Minecraft which involves making objects such as working elevators, rail tracks, and more!",Georgia,Roswell,5092024
2024 Summer Camps: Graphic Design with Adobe Photoshop,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-graphic-design-with-adobe-photoshop/?instance_id=327,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 24-28, 2024","['June 24, 2024', 'June 25, 2024', 'June 26, 2024', 'June 27, 2024', 'June 28, 2024']",6/28/2024 9:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,"There is a huge demand for Graphic Designers in Georgia. According to the United States department of Labor the average hourly rate for 90% of Graphic Designers is over $55/hr, and Graphic Designers in Federal Executive branch earn an average of $85,000+ per year.  Future careers are possible a wide range of fields - in addition to advertising and social media, graphic design is needed by companies like NASA and Kellogg's.  Anywhere you see artistic text and images - it was probably created by a graphic artist.",Georgia,Roswell,5092024
2024 Summer Camps: LEGO Fortnite,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-lego-fortnite/?instance_id=340,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 24-28, 2024","['June 24, 2024', 'June 25, 2024', 'June 26, 2024', 'June 27, 2024', 'June 28, 2024']",6/28/2024 9:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,"LEGO Fortnite is a creative fusion of two popular worlds - LEGO and the iconic Fortnite game. In this imaginative crossover, the dynamic and customizable nature of LEGO bricks meets the vibrant and action-packed universe of Fortnite. Builders can recreate iconic Fortnite scenes or invent their brick-based battles, bringing the virtual gaming experience into the tangible realm of LEGO. With mini-figures representing Fortnite characters, players have the opportunity to construct their own miniature Fortnite adventures, combining the thrill of gameplay with the hands-on joy of LEGO building. It's a delightful blend of digital gaming and real-world creativity, offering fans a new way to engage with their favorite Fortnite moments.",Georgia,Roswell,5092024
Tech Tales - Storytime for Young Explorers - 6/29/24 - What Do You Do With A Problem,https://www.computermuseumofamerica.org/wp-content/uploads/2023/03/what-do-you-do-with-a-problem-scaled-e1678984636177-257x300.jpg,https://www.computermuseumofamerica.org/event/tech-tales-storytime-for-young-explorers-6-29-24-what-do-you-do-with-a-problem/?instance_id=370,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",29-Jun-24,"['June 29, 2024']",6/29/2024 11:00,['11:00PM-12:00PM'],11AM-12PM,Roswell,Family,In Person,This week's book is What Do You Do With a Problem? by Kobi Yamada. This story is a heartwarming tale for anyone who has ever dealt with a problem. No one is too young to learn the importance of courage and persistence.,Georgia,Roswell,5092024
Tech Tales - Storytime for Young Explorers - 7/6/24 - Randy Riley’s Really Big Hit,https://www.computermuseumofamerica.org/wp-content/uploads/2024/04/Randy_Riley-removebg-preview-257x300.png,https://www.computermuseumofamerica.org/event/tech-tales-storytime-for-young-explorers-7-6-24-randy-rileys-really-big-hit/?instance_id=371,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",6-Jul-24,"['July 6, 2024']",7/6/2024 11:00,['11:00PM-12:00PM'],11AM-12PM,Roswell,Family,In Person,"When an asteroid threatens his town, Randy Riley takes the mound and uses his intelligence and problem solving skills to save the day. Come and join us this Saturday!",Georgia,Roswell,5092024
Punch Card Machine Demo,https://www.computermuseumofamerica.org/wp-content/uploads/2020/07/punchcardbox-300x300.png,https://www.computermuseumofamerica.org/event/punch-card-machine-demo-55/?instance_id=358,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",6-Jul-24,"['July 6, 2024']",7/6/2024 14:00,['2:00PM-4:00PM'],2PM-4PM,Roswell,Family,In Person,"The punchcard exhibit starts with a Jacquard Loom, one of the earliest uses of punched cards, which helped to make woven fabric more affordable. Herman Hollerith's invention of electromechanical processing of cards tabulated data for the 1890 census. The IBM family of punch card machines was used for data processing and record-keeping across many industries and academia. Punched cards were even used for matchmaking at the University of Iowa in 1963!",Georgia,Roswell,5092024
2024 Summer Camps: Make and Take Home your own GAMING PC,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-make-and-take-home-your-own-gaming-pc/?instance_id=330,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 8-12, 2024","['July 8, 2024', 'July 9, 2024', 'July 10, 2024', 'July 11, 2024', 'July 12, 2024']",7/12/2024 9:00,['9:00AM-4:00PM'],9:00AM-4:00PM,Roswell,Family,In Person,"In this super fun camp, students learn to design, unassemble, and re-assemble a fully working computer with all the necessary electronic components including a monitor, CPU, keyboard, mouse, and cables.",Georgia,Roswell,5092024
2024 Summer Camps: Robot NASCAR Races,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-robot-nascar-races/?instance_id=328,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 8-12, 2024","['July 8, 2024', 'July 9, 2024', 'July 10, 2024', 'July 11, 2024', 'July 12, 2024']",7/12/2024 9:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-4:00PM,Roswell,Family,In Person,"This Robotics class targets the absolute beginners. No prior robotics or programming knowledge is required.  Students will be able to build and program robots to engage in various challenges such as battle bots, mazes, and more fun and exciting matches.",Georgia,Roswell,5092024
2024 Summer Camps: Visual 3D Coding with Kodu,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-junior-adventures-with-ai-2/?instance_id=329,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","July 8-12, 2024","['July 8, 2024', 'July 9, 2024', 'July 10, 2024', 'July 11, 2024', 'July 12, 2024']",7/12/2024 9:00,"['9:00AM-4:00PM', '9:00AM-4:00PM', '9:00AM-4:00PM', '9:00AM-4:00PM', '9:00AM-4:00PM']",9:00AM-4:00PM,Roswell,Family,In Person,"Learn the basic concepts of programming logic; story, character, and game design. Create a water world, program flying fish, create lava obstacles, score points, manage health and so much more! Your kids will be hooked!",Georgia,Roswell,5092024
"Tech Tales - Storytime for Young Explorers - 7/13/24 - Rosie Revere, Engineer",https://www.computermuseumofamerica.org/wp-content/uploads/2023/03/Rosie-Revere-Engineer-scaled-e1678985222218-244x300.jpg,https://www.computermuseumofamerica.org/event/tech-tales-storytime-for-young-explorers-7-13-24-rosie-revere-engineer/?instance_id=372,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",13-Jul-24,"['July 13, 2024']",7/13/2024 11:00,['11:00AM-12:00PM'],11AM-12PM,Roswell,Family,In Person,"Join us for this week's Tech Tales book reading featuring the inspiring story of Rosie Revere, Engineer by Andrea Beaty. In this heartwarming tale, young inventor Rosie encounters failures and judgment from others but learns to embrace her mistakes and never give up on her passion for engineering. Through her perseverance and determination, Rosie teaches young readers the importance of resilience and creativity in pursuing their dreams.",Georgia,Roswell,5092024
